Date,ret,rv,vix,nfci
2024-07-17,-0.014025441523644488,1.67520563980436e-05,14.48,-0.368
2024-07-18,-0.007847112145350721,8.340981146692613e-05,15.93,-0.368
2024-07-19,-0.007165879226405991,4.118960741447084e-05,16.52,-0.363
2024-07-22,0.010734217246220368,2.2773869941893276e-05,14.91,-0.363
2024-07-23,-0.0015593176939461273,1.7986745676715887e-05,14.72,-0.363
2024-07-24,-0.023421242222893213,4.9784801848079996e-05,18.04,-0.363
2024-07-25,-0.005155889019716753,0.0001596000111216294,18.46,-0.363
2024-07-26,0.01102942040957089,4.7272671943440766e-05,16.39,-0.359
2024-07-29,0.0008129795718279098,2.9191243006477414e-05,16.6,-0.359
2024-07-30,-0.004972514361366365,0.00010666960252906399,17.69,-0.359
2024-07-31,0.01566998070191694,5.114596263079302e-05,16.36,-0.359
2024-08-01,-0.013788123791989904,0.0002962515859489213,18.59,-0.359
2024-08-02,-0.018552906608553243,0.00010522307684626449,23.39,-0.357
2024-08-05,-0.03042704139239305,0.00030436353489443017,38.57,-0.357
2024-08-06,0.010300849493599884,0.0002396786597181317,27.71,-0.357
2024-08-07,-0.007764715388770327,0.00020644958372772335,27.85,-0.357
2024-08-08,0.022781139590899002,9.744918705130964e-05,23.79,-0.357
2024-08-09,0.004660798434381164,4.70309230671638e-05,20.37,-0.359
2024-08-12,4.3033051721153015e-05,3.758462031721126e-05,20.71,-0.359
2024-08-13,0.016707233419049672,1.6962627360041444e-05,18.12,-0.359
2024-08-14,0.003816436561198344,3.567435034332338e-05,16.19,-0.359
2024-08-15,0.016004489931304988,1.089059769260441e-05,15.23,-0.359
2024-08-16,0.0019878023683954638,1.49524147202013e-05,14.8,-0.367
2024-08-19,0.009675327436177383,2.09497143975463e-05,14.65,-0.367
2024-08-20,-0.001986527237608726,1.9112671971873167e-05,15.88,-0.367
2024-08-21,0.004230714721005668,2.296116386485238e-05,16.27,-0.367
2024-08-22,-0.00897294225665668,5.240897762329723e-05,17.55,-0.367
2024-08-23,0.011417937401663636,3.831559521416767e-05,15.86,-0.378
2024-08-26,-0.003158710169605783,3.199988254117204e-05,16.15,-0.378
2024-08-27,0.0015939251127239373,1.6129624727042925e-05,15.43,-0.378
2024-08-28,-0.005993900794734941,5.693378126299538e-05,17.11,-0.378
2024-08-29,-3.937984343771461e-05,6.0519479403876325e-05,15.65,-0.378
2024-08-30,0.01004245707914464,6.12431202434917e-05,15.0,-0.389
2024-09-03,-0.021377963372398057,0.00011885491522287552,20.72,-0.389
2024-09-04,-0.0016038290273812095,3.753347779016951e-05,21.32,-0.389
2024-09-05,-0.0030225810146742305,6.759743751818116e-05,19.9,-0.389
2024-09-06,-0.01741094450742331,0.00011383336741310488,22.38,-0.4
2024-09-09,0.011513534435817263,3.0559167304149745e-05,19.45,-0.4
2024-09-10,0.004462699977795026,5.244405360074035e-05,19.08,-0.4
2024-09-11,0.010608555649842089,0.00034943397980681203,17.69,-0.4
2024-09-12,0.007467352156803386,5.037730777916439e-05,17.07,-0.4
2024-09-13,0.005393142234355608,1.2677731296089097e-05,16.56,-0.41
2024-09-16,0.0012558408673104537,1.1822122286731867e-05,17.14,-0.41
2024-09-17,0.0002645150938960228,4.5287843733196274e-05,17.61,-0.41
2024-09-18,-0.0029006587083131308,8.057321469933472e-05,18.23,-0.41
2024-09-19,0.016834356892726277,3.265576533465672e-05,16.33,-0.41
2024-09-20,-0.0019429136300157523,2.4879679406524977e-05,16.15,-0.419
2024-09-23,0.0028053344257124024,6.3156019517604096e-06,15.89,-0.419
2024-09-24,0.0025080311033462976,1.986316129825287e-05,15.39,-0.419
2024-09-25,-0.0018629832062124763,1.1268545207973892e-05,15.41,-0.419
2024-09-26,0.004030542158199424,2.925651015822941e-05,15.37,-0.419
2024-09-27,-0.0012540029000724928,1.6656008394776984e-05,16.96,-0.425
2024-09-30,0.004227603658440771,4.2581573983545045e-05,16.73,-0.425
2024-10-01,-0.009367848694454395,6.114107891346824e-05,19.26,-0.425
2024-10-02,0.00013838132698751338,3.0535064350225626e-05,18.9,-0.425
